area,mae_model,rmse_model,mape_model,n_train,n_val,n_test
quebec_d4z,18.701821968055732,43.17455725436369,85.02539696158013,1055093,150727,301456
quebec_d5a,18.70202307930906,43.161193860707854,84.64836061191548,1055093,150727,301456
quebec_h9a,18.70202307930906,43.161193860707854,84.64836061191548,1055093,150727,301456
quebec_q4c,18.702027592461224,43.16117282810193,84.65427409803995,1055093,150727,301456
quebec_p33c,18.715365747682426,43.17126735316121,84.81156959620493,1055093,150727,301456
quebec_h4z,18.732804819529587,43.23755202889824,85.43259282148759,1055068,150724,301448
quebec_x2y,18.777774661612312,43.650188977143706,84.57957641243738,1055081,150725,301453
quebec_b5d_b31l,18.808401433152344,43.336026312337665,85.0641857208853,1055076,150725,301451
manitoba_sk,18.906223785450877,43.576296956143125,94.12746994722093,1055093,150727,301456
ontario,19.638260561288707,43.99266870318728,74.0886275560039,1055093,150727,301456
michigan,19.971603417291995,49.03447855353026,58.26656964828621,1055068,150724,301448
new-york,20.3435506018956,45.726301111197316,83.3365891834335,1055034,150719,301439
quebec_at,22.607446226630188,51.19115254041599,80.8301851398167,1055003,150714,301431
minnesota,23.112636045120652,63.39248540119368,66.29455155414615,1054891,150698,301399
manitoba,31.61862736407218,94.6379609808154,74.97326758837968,1054958,150708,301418
